,Field Name,Description,Source,bidding zone,control area,country,ISO 3166-1 alpha-2,MapCode ENTSO-E,primary AreaName ENTSO-E,primary concept,EU memberstate,EU inside,market balance area,load from ENTSO-E TP,generation from ENTSOE-TP,price from ENTSO-E TP,generation from TSO,price from TSO,load from ENTSO-E data portal,load from TSO,Capacity from OPSD,target
71,DK_load_actual_entsoe_transparency,Total load in Denmark in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
74,DK_solar_generation_actual,Actual solar generation in Denmark in MW,ENTSO-E Transparency,,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
76,DK_wind_generation_actual,Actual wind generation in Denmark in MW,own calculation based on ENTSO-E Transparency,,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
78,DK_wind_offshore_generation_actual,Actual wind_offshore generation in Denmark in MW,ENTSO-E Transparency,,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
83,DK_1_price_day_ahead,Day-ahead spot price for DK1 (bidding zone) in EUR,ENTSO-E Transparency,DK_1,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,True
90,DK_2_price_day_ahead,Day-ahead spot price for DK2 (bidding zone) in EUR,ENTSO-E Transparency,DK_2,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,True
92,DK_2_wind_generation_actual,Actual wind generation in DK2 (bidding zone) in MW,own calculation based on ENTSO-E Transparency,DK_2,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
93,DK_2_wind_offshore_generation_actual,Actual wind_offshore generation in DK2 (bidding zone) in MW,ENTSO-E Transparency,DK_2,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
95,EE_load_actual_entsoe_transparency,Total load in Estonia in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,EE,EE,EE,Estonia,country,True,True,Elering,True,True,False,False,False,True,False,False,False
97,EE_solar_generation_actual,Actual solar generation in Estonia in MW,ENTSO-E Transparency,,,EE,EE,EE,Estonia,country,True,True,Elering,True,True,False,False,False,True,False,False,False
98,EE_wind_onshore_generation_actual,Actual wind_onshore generation in Estonia in MW,ENTSO-E Transparency,,,EE,EE,EE,Estonia,country,True,True,Elering,True,True,False,False,False,True,False,False,False
99,ES_load_actual_entsoe_transparency,Total load in Spain in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,ES,ES,ES,Spain,country,True,True,REE,True,True,False,False,False,True,False,False,False
101,ES_solar_generation_actual,Actual solar generation in Spain in MW,ENTSO-E Transparency,,,ES,ES,ES,Spain,country,True,True,REE,True,True,False,False,False,True,False,False,False
102,ES_wind_onshore_generation_actual,Actual wind_onshore generation in Spain in MW,ENTSO-E Transparency,,,ES,ES,ES,Spain,country,True,True,REE,True,True,False,False,False,True,False,False,False
103,FI_load_actual_entsoe_transparency,Total load in Finland in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,FI,FI,FI,Finland,country,True,True,Fingrid,True,True,False,False,False,True,False,False,False
105,FI_wind_onshore_generation_actual,Actual wind_onshore generation in Finland in MW,ENTSO-E Transparency,,,FI,FI,FI,Finland,country,True,True,Fingrid,True,True,False,False,False,True,False,False,False
106,FR_load_actual_entsoe_transparency,Total load in France in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,FR,FR,FR,France,country,True,True,RTE,True,True,False,True,False,True,False,False,False
108,FR_solar_generation_actual,Actual solar generation in France in MW,ENTSO-E Transparency,,,FR,FR,FR,France,country,True,True,RTE,True,True,False,True,False,True,False,False,False
109,FR_wind_onshore_generation_actual,Actual wind_onshore generation in France in MW,ENTSO-E Transparency,,,FR,FR,FR,France,country,True,True,RTE,True,True,False,True,False,True,False,False,False
110,GB_GBN_load_actual_entsoe_transparency,Total load in Great Britain in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,,GB_GBN,GB,GB,National Grid BZ,country,False,False,National Grid,True,True,True,False,False,False,False,True,False
112,GB_GBN_price_day_ahead,Day-ahead spot price for Great Britain in GBP,ENTSO-E Transparency,,,GB_GBN,GB,GB,National Grid BZ,country,False,False,National Grid,True,True,True,False,False,False,False,True,True
114,GB_GBN_solar_generation_actual,Actual solar generation in Great Britain in MW,own calculation based on ENTSO-E Transparency,,,GB_GBN,GB,GB,National Grid BZ,country,False,False,National Grid,True,True,True,False,False,False,False,True,False
117,GB_GBN_wind_generation_actual,Actual wind generation in Great Britain in MW,own calculation based on ENTSO-E Transparency,,,GB_GBN,GB,GB,National Grid BZ,country,False,False,National Grid,True,True,True,False,False,False,False,True,False
120,GB_GBN_wind_offshore_generation_actual,Actual wind_offshore generation in Great Britain in MW,own calculation based on ENTSO-E Transparency,,,GB_GBN,GB,GB,National Grid BZ,country,False,False,National Grid,True,True,True,False,False,False,False,True,False
123,GB_GBN_wind_onshore_generation_actual,Actual wind_onshore generation in Great Britain in MW,own calculation based on ENTSO-E Transparency,,,GB_GBN,GB,GB,National Grid BZ,country,False,False,National Grid,True,True,True,False,False,False,False,True,False
125,GB_NIR_load_actual_entsoe_transparency,Total load in Northern Ireland in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,,GB_NIR,GB,NIE,SONI CA,country,False,False,United Kingdom_default,True,True,False,False,False,False,False,True,False
129,GB_NIR_wind_onshore_generation_actual,Actual wind_onshore generation in Northern Ireland in MW,own calculation based on ENTSO-E Transparency,,,GB_NIR,GB,NIE,SONI CA,country,False,False,United Kingdom_default,True,True,False,False,False,False,False,True,False
140,GR_load_actual_entsoe_transparency,Total load in Greece in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,GR,GR,GR,Greece,country,True,True,IPTO,True,True,False,False,False,True,False,False,False
142,GR_solar_generation_actual,Actual solar generation in Greece in MW,ENTSO-E Transparency,,,GR,GR,GR,Greece,country,True,True,IPTO,True,True,False,False,False,True,False,False,False
143,GR_wind_onshore_generation_actual,Actual wind_onshore generation in Greece in MW,ENTSO-E Transparency,,,GR,GR,GR,Greece,country,True,True,IPTO,True,True,False,False,False,True,False,False,False
144,HR_load_actual_entsoe_transparency,Total load in Croatia in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,HR,HR,HR,Croatia,country,True,True,HOPS,True,False,False,False,False,True,False,False,False
148,HU_load_actual_entsoe_transparency,Total load in Hungary in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,,HU,HU,HU,Hungary,country,True,True,MAVIR,True,True,False,False,False,True,False,False,False
151,HU_wind_onshore_generation_actual,Actual wind_onshore generation in Hungary in MW,own calculation based on ENTSO-E Transparency,,,HU,HU,HU,Hungary,country,True,True,MAVIR,True,True,False,False,False,True,False,False,False
152,IE_load_actual_entsoe_transparency,Total load in Ireland in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,,IE,IE,IE,Ireland,country,True,True,Ireland_default,True,True,False,False,False,True,False,False,False
154,IE_wind_onshore_generation_actual,Actual wind_onshore generation in Ireland in MW,own calculation based on ENTSO-E Transparency,,,IE,IE,IE,Ireland,country,True,True,Ireland_default,True,True,False,False,False,True,False,False,False
159,IT_load_actual_entsoe_transparency,Total load in Italy in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,False
167,IT_CNOR_price_day_ahead,Day-ahead spot price for IT-Centre-North (bidding zone) in EUR,ENTSO-E Transparency,IT_CNOR,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,True
168,IT_CNOR_solar_generation_actual,Actual solar generation in IT-Centre-North (bidding zone) in MW,ENTSO-E Transparency,IT_CNOR,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,False
169,IT_CNOR_wind_onshore_generation_actual,Actual wind_onshore generation in IT-Centre-North (bidding zone) in MW,ENTSO-E Transparency,IT_CNOR,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,False
170,IT_CSUD_load_actual_entsoe_transparency,Total load in IT-Centre-South (bidding zone) in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,IT_CSUD,,CS,CS,CS,SerbiaMontenegro_default,country,False,False,SerbiaMontenegro_default,False,False,False,False,False,True,False,False,False
172,IT_CSUD_price_day_ahead,Day-ahead spot price for IT-Centre-South (bidding zone) in EUR,ENTSO-E Transparency,IT_CSUD,,CS,CS,CS,SerbiaMontenegro_default,country,False,False,SerbiaMontenegro_default,False,False,False,False,False,True,False,False,True
