,Field Name,Description,Source,bidding zone,control area,country,ISO 3166-1 alpha-2,MapCode ENTSO-E,primary AreaName ENTSO-E,primary concept,EU memberstate,EU inside,market balance area,load from ENTSO-E TP,generation from ENTSOE-TP,price from ENTSO-E TP,generation from TSO,price from TSO,load from ENTSO-E data portal,load from TSO,Capacity from OPSD,target
26,CZ_load_actual_entsoe_transparency,Total load in Czech Republic in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,CZ,CZ,CZ,Czech Republic,country,True,True,CEPS,True,True,False,True,False,True,False,False,False
27,CZ_load_forecast_entsoe_transparency,Day-ahead load forecast in Czech Republic in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,CZ,CZ,CZ,Czech Republic,country,True,True,CEPS,True,True,False,True,False,True,False,False,False
28,CZ_solar_generation_actual,Actual solar generation in Czech Republic in MW,ENTSO-E Transparency,,,CZ,CZ,CZ,Czech Republic,country,True,True,CEPS,True,True,False,True,False,True,False,False,False
29,CZ_wind_onshore_generation_actual,Actual wind_onshore generation in Czech Republic in MW,ENTSO-E Transparency,,,CZ,CZ,CZ,Czech Republic,country,True,True,CEPS,True,True,False,True,False,True,False,False,False
30,DE_load_actual_entsoe_transparency,Total load in Germany in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
31,DE_load_forecast_entsoe_transparency,Day-ahead load forecast in Germany in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
32,DE_solar_capacity,Electrical capacity of solar in Germany in MW,own calculation based on BNetzA and netztransparenz.de,,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
33,DE_solar_generation_actual,Actual solar generation in Germany in MW,own calculation based on ENTSO-E Transparency,,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
34,DE_solar_profile,Share of solar capacity producing in Germany,own calculation based on ENTSO-E Transparency and BNetzA and netztransparenz.de,,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
35,DE_wind_capacity,Electrical capacity of wind in Germany in MW,own calculation based on BNetzA and netztransparenz.de,,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
36,DE_wind_generation_actual,Actual wind generation in Germany in MW,own calculation based on ENTSO-E Transparency,,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
37,DE_wind_profile,Share of wind capacity producing in Germany,own calculation based on ENTSO-E Transparency and BNetzA and netztransparenz.de,,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
38,DE_wind_offshore_capacity,Electrical capacity of wind_offshore in Germany in MW,own calculation based on BNetzA and netztransparenz.de,,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
39,DE_wind_offshore_generation_actual,Actual wind_offshore generation in Germany in MW,own calculation based on ENTSO-E Transparency,,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
40,DE_wind_offshore_profile,Share of wind_offshore capacity producing in Germany,own calculation based on ENTSO-E Transparency and BNetzA and netztransparenz.de,,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
41,DE_wind_onshore_capacity,Electrical capacity of wind_onshore in Germany in MW,own calculation based on BNetzA and netztransparenz.de,,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
42,DE_wind_onshore_generation_actual,Actual wind_onshore generation in Germany in MW,own calculation based on ENTSO-E Transparency,,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
43,DE_wind_onshore_profile,Share of wind_onshore capacity producing in Germany,own calculation based on ENTSO-E Transparency and BNetzA and netztransparenz.de,,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
44,DE_50hertz_load_actual_entsoe_transparency,Total load in 50Hertz (control area) in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,DE_50hertz,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
45,DE_50hertz_load_forecast_entsoe_transparency,Day-ahead load forecast in 50Hertz (control area) in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,DE_50hertz,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
46,DE_50hertz_solar_generation_actual,Actual solar generation in 50Hertz (control area) in MW,own calculation based on ENTSO-E Transparency,,DE_50hertz,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
47,DE_50hertz_wind_generation_actual,Actual wind generation in 50Hertz (control area) in MW,own calculation based on ENTSO-E Transparency,,DE_50hertz,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
48,DE_50hertz_wind_offshore_generation_actual,Actual wind_offshore generation in 50Hertz (control area) in MW,own calculation based on ENTSO-E Transparency,,DE_50hertz,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
49,DE_50hertz_wind_onshore_generation_actual,Actual wind_onshore generation in 50Hertz (control area) in MW,own calculation based on ENTSO-E Transparency,,DE_50hertz,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
50,DE_LU_load_actual_entsoe_transparency,Total load in DE-LU (bidding zone) in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,DE_LU,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
51,DE_LU_load_forecast_entsoe_transparency,Day-ahead load forecast in DE-LU (bidding zone) in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,DE_LU,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
52,DE_LU_price_day_ahead,Day-ahead spot price for DE-LU (bidding zone) in EUR,ENTSO-E Transparency,DE_LU,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,True
53,DE_LU_solar_generation_actual,Actual solar generation in DE-LU (bidding zone) in MW,own calculation based on ENTSO-E Transparency,DE_LU,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
54,DE_LU_wind_generation_actual,Actual wind generation in DE-LU (bidding zone) in MW,own calculation based on ENTSO-E Transparency,DE_LU,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
55,DE_LU_wind_offshore_generation_actual,Actual wind_offshore generation in DE-LU (bidding zone) in MW,own calculation based on ENTSO-E Transparency,DE_LU,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
56,DE_LU_wind_onshore_generation_actual,Actual wind_onshore generation in DE-LU (bidding zone) in MW,own calculation based on ENTSO-E Transparency,DE_LU,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
57,DE_amprion_load_actual_entsoe_transparency,Total load in Amprion (control area) in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,DE_amprion,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
58,DE_amprion_load_forecast_entsoe_transparency,Day-ahead load forecast in Amprion (control area) in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,DE_amprion,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
59,DE_amprion_solar_generation_actual,Actual solar generation in Amprion (control area) in MW,own calculation based on ENTSO-E Transparency,,DE_amprion,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
60,DE_amprion_wind_onshore_generation_actual,Actual wind_onshore generation in Amprion (control area) in MW,own calculation based on ENTSO-E Transparency,,DE_amprion,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
61,DE_tennet_load_actual_entsoe_transparency,Total load in TenneT GER (control area) in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,DE_tennet,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
62,DE_tennet_load_forecast_entsoe_transparency,Day-ahead load forecast in TenneT GER (control area) in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,DE_tennet,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
63,DE_tennet_solar_generation_actual,Actual solar generation in TenneT GER (control area) in MW,own calculation based on ENTSO-E Transparency,,DE_tennet,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
64,DE_tennet_wind_generation_actual,Actual wind generation in TenneT GER (control area) in MW,own calculation based on ENTSO-E Transparency,,DE_tennet,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
