area ID,ISO 3166-1 alpha-2,MapCode ENTSO-E,primary AreaName ENTSO-E,primary concept,EU memberstate,EU inside,15min,30min,60min,EIC,meaning cf. ENTSO-E,country,bidding zone,bidding zone aggregation,control area,market balance area,load from ENTSO-E TP,generation from ENTSOE-TP,price from ENTSO-E TP,generation from TSO,price from TSO,load from ENTSO-E data portal,load from TSO,Capacity from OPSD
IT_CSUD,,IT_CSUD,IT-Centre-South BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A71M,IT-Centre-South BZ,,IT-Centre-South,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IT_FOGN,,IT_FOGN,IT-Foggia BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A72K,IT-Foggia BZ,,IT-Foggia,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IT_GR,,IT_GR,IT-GR BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A66F,IT-GR BZ,,IT-GR,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IT_NORD,,IT_NORD,IT-North BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A73I,IT-North BZ,,IT-North,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IT_NORD_AT,,IT_NORD_AT,IT-North-AT BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A80L,IT-North-AT BZ,,IT-North-AT,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IT_NORD_CH,,IT_NORD_CH,IT-North-CH BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A68B,IT-North-CH BZ,,IT-North-CH,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IT_NORD_FR,,IT_NORD_FR,IT-North-FR BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A81J,IT-North-FR BZ,,IT-North-FR,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IT_NORD_SI,,IT_NORD_SI,IT-North-SI BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A67D,IT-North-SI BZ,,IT-North-SI,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IT_PRGP,,IT_PRGP,IT-Priolo BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A76C,IT-Priolo BZ,,IT-Priolo,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IT_ROSN,,IT_ROSN,IT-Rossano BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A77A,IT-Rossano BZ,,IT-Rossano,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IT_SACO_AC,,IT_SACO_AC,Italy_Saco_AC,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A885,Italy_Saco_AC,,Italy_Saco_AC,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
